house,date,tot,phase_number,phase
04,2012-06-27,802.9255666666666,1,490.38634226851855
04,2012-06-27,802.9255666666666,2,164.49110857638888
04,2012-06-27,802.9255666666666,3,148.04811159722223
04,2012-06-28,662.8054587268518,1,444.3574195486111
04,2012-06-28,662.8054587268518,2,109.58368934027777
04,2012-06-28,662.8054587268518,3,108.8643546412037
04,2012-06-29,678.4774672337963,1,463.7701916782407
04,2012-06-29,678.4774672337963,2,104.31468546296296
04,2012-06-29,678.4774672337963,3,110.39259511574075
04,2012-06-30,656.5242453472222,1,454.73102722222217
04,2012-06-30,656.5242453472222,2,104.93861019675926
04,2012-06-30,656.5242453472222,3,96.85461155092592
04,2012-07-01,742.5675584027778,1,487.9198253587963
04,2012-07-01,742.5675584027778,2,147.10769141203704
04,2012-07-01,742.5675584027778,3,107.5400390625
04,2012-07-02,688.1649708449074,1,437.12150583333334
04,2012-07-02,688.1649708449074,2,108.22669892361111
04,2012-07-02,688.1649708449074,3,142.81675790509257
04,2012-07-03,779.7832343981482,1,496.47790561342595
04,2012-07-03,779.7832343981482,2,136.34535937500002
04,2012-07-03,779.7832343981482,3,146.95997047453702
04,2012-07-04,642.6884882523148,1,400.35647462962964
04,2012-07-04,642.6884882523148,2,114.2630255324074
04,2012-07-04,642.6884882523148,3,128.06898827546294
04,2012-07-05,604.4208996875001,1,403.68463310185183
04,2012-07-05,604.4208996875001,2,109.07218608796296
04,2012-07-05,604.4208996875001,3,91.66408115740741
04,2012-07-06,655.3937471412037,1,376.2743813425926
04,2012-07-06,655.3937471412037,2,86.80252350694445
04,2012-07-06,655.3937471412037,3,192.3168398611111
04,2012-07-07,720.9163116087963,1,489.017614212963
04,2012-07-07,720.9163116087963,2,140.17118444444444
04,2012-07-07,720.9163116087963,3,91.72751659722222
04,2012-07-08,718.6106249074074,1,456.5263706828704
04,2012-07-08,718.6106249074074,2,146.44743862268518
04,2012-07-08,718.6106249074074,3,115.63681476851852
04,2012-07-09,670.583255138889,1,432.2355178125
04,2012-07-09,670.583255138889,2,114.90281505787038
04,2012-07-09,670.583255138889,3,123.44492807870371
04,2012-07-10,894.3685812962963,1,485.3890695486111
04,2012-07-10,894.3685812962963,2,186.73649215277777
04,2012-07-10,894.3685812962963,3,222.24302221064815
04,2012-07-11,595.1680604050925,1,375.2800537847222
04,2012-07-11,595.1680604050925,2,92.79190848379629
04,2012-07-11,595.1680604050925,3,127.09609951388889
04,2012-07-12,797.0939787962964,1,467.2053997106481
04,2012-07-12,797.0939787962964,2,150.8572134375
04,2012-07-12,797.0939787962964,3,179.03136575231483
04,2012-07-13,751.712736574074,1,462.21656083333335
04,2012-07-13,751.712736574074,2,114.0447100462963
04,2012-07-13,751.712736574074,3,175.4514668287037
04,2012-07-14,656.0074472685185,1,379.06092484953706
04,2012-07-14,656.0074472685185,2,109.97042392361111
04,2012-07-14,656.0074472685185,3,166.97609793981482
04,2012-07-15,570.7076938541667,1,376.9389741319444
04,2012-07-15,570.7076938541667,2,117.7862366087963
04,2012-07-15,570.7076938541667,3,75.98248758101852
04,2012-07-16,439.2682414004629,1,309.1710889583333
04,2012-07-16,439.2682414004629,2,53.28477429398148
04,2012-07-16,439.2682414004629,3,76.81238288194444
04,2012-07-17,433.0721564236111,1,304.9922401851852
04,2012-07-17,433.0721564236111,2,50.55842243055555
04,2012-07-17,433.0721564236111,3,77.52149672453703
04,2012-07-18,437.08360121527784,1,310.19875189814815
04,2012-07-18,437.08360121527784,2,49.01023381944444
