date,hour,house,plug,power
2012-08-01 00:00:00,0,4,3,0.6178059833333334
2012-08-01 01:00:00,1,4,3,0.63273785
2012-08-01 02:00:00,2,4,3,0.6271384000000001
2012-08-01 03:00:00,3,4,3,3.8635540055555557
2012-08-01 04:00:00,4,4,3,0.6066070833333334
2012-08-01 05:00:00,5,4,3,0.5935417000000001
2012-08-01 06:00:00,6,4,3,0.6041184388888888
2012-08-01 07:00:00,7,4,3,0.6352264944444445
2012-08-01 08:00:00,8,4,3,0.6227832722222223
2012-08-01 09:00:00,9,4,3,20.01506461111111
2012-08-01 10:00:00,10,4,3,0.5929195388888889
2012-08-01 11:00:00,11,4,3,7.8708478500000005
2012-08-01 12:00:00,12,4,3,0.6221611111111112
2012-08-01 13:00:00,13,4,3,3.1763313
2012-08-01 14:00:00,14,4,3,0.6619794222222222
2012-08-01 15:00:00,15,4,3,8.161569455555556
2012-08-01 16:00:00,16,4,3,13.870936655555557
2012-08-01 17:00:00,17,4,3,11.342246933333334
2012-08-01 18:00:00,18,4,3,0.6178059833333334
2012-08-01 19:00:00,19,4,3,8.5928106
2012-08-01 20:00:00,20,4,3,0.6022519555555557
2012-08-01 21:00:00,21,4,3,0.6084735666666666
2012-08-01 22:00:00,22,4,3,3.9810612444444446
2012-08-01 23:00:00,23,4,3,3.067792788888889
2012-08-02 00:00:00,0,4,3,0.6122065333333334
2012-08-02 01:00:00,1,4,3,0.6016297944444444
2012-08-02 02:00:00,2,4,3,0.5730103833333333
2012-08-02 03:00:00,3,4,3,0.6333600111111111
2012-08-02 04:00:00,4,4,3,0.6010076333333334
2012-08-02 05:00:00,5,4,3,0.6128286944444444
2012-08-02 06:00:00,6,4,3,0.6171838222222222
2012-08-02 07:00:00,7,4,3,0.5985189888888889
2012-08-02 08:00:00,8,4,3,0.6066070833333334
2012-08-02 09:00:00,9,4,3,6.949150672222222
2012-08-02 10:00:00,10,4,3,3.189880911111111
2012-08-02 11:00:00,11,4,3,10.006573605555555
2012-08-02 12:00:00,12,4,3,9.238842161111112
2012-08-02 13:00:00,13,4,3,5.8312144111111115
2012-08-02 14:00:00,14,4,3,5.906070811111111
2012-08-02 15:00:00,15,4,3,9.844867469444445
2012-08-02 16:00:00,16,4,3,14.49022707777778
2012-08-02 17:00:00,17,4,3,3.254726694444445
2012-08-02 18:00:00,18,4,3,6.201323394444445
2012-08-02 19:00:00,19,4,3,0.6221611111111112
2012-08-02 20:00:00,20,4,3,3.197769677777778
2012-08-02 21:00:00,21,4,3,11.392584255555555
2012-08-02 22:00:00,22,4,3,8.735641922222223
2012-08-02 23:00:00,23,4,3,0.6028741166666667
2012-08-03 00:00:00,0,4,3,0.5904308944444445
2012-08-03 01:00:00,1,4,3,0.6047406000000001
2012-08-03 02:00:00,2,4,3,0.5972746666666666
2012-08-03 03:00:00,3,4,3,0.6128286944444444
2012-08-03 04:00:00,4,4,3,0.5916752166666667
2012-08-03 05:00:00,5,4,3,0.609717888888889
2012-08-03 06:00:00,6,4,3,0.6122065333333334
2012-08-03 07:00:00,7,4,3,0.6171838222222222
2012-08-03 08:00:00,8,4,3,0.6128286944444444
2012-08-03 09:00:00,9,4,3,0.6034962777777778
2012-08-03 10:00:00,10,4,3,0.615317338888889
2012-08-03 11:00:00,11,4,3,7.135180922222222
2012-08-03 12:00:00,12,4,3,11.174820705555556
