date,hour,house,plug,power
2012-08-01 00:00:00,0,4,6,1.0958709166666665
2012-08-01 01:00:00,1,4,6,1.1695481138888888
2012-08-01 02:00:00,2,4,6,1.1553079833333333
2012-08-01 03:00:00,3,4,6,1.1826209583333334
2012-08-01 04:00:00,4,4,6,1.1633567527777775
2012-08-01 05:00:00,5,4,6,1.1299234027777778
2012-08-01 06:00:00,6,4,6,1.1076345027777776
2012-08-01 07:00:00,7,4,6,1.1460209416666665
2012-08-01 08:00:00,8,4,6,1.1602610722222222
2012-08-01 09:00:00,9,4,6,1.0871718833333333
2012-08-01 10:00:00,10,4,6,1.1107301833333334
2012-08-01 11:00:00,11,4,6,1.1813116999999997
2012-08-01 12:00:00,12,4,6,1.0791253916666665
2012-08-01 13:00:00,13,4,6,1.1348764916666665
2012-08-01 14:00:00,14,4,6,1.208118661111111
2012-08-01 15:00:00,15,4,6,1.192786786111111
2012-08-01 16:00:00,16,4,6,1.246098922222222
2012-08-01 17:00:00,17,4,6,1.1487392944444443
2012-08-01 18:00:00,18,4,6,1.159510972222222
2012-08-01 19:00:00,19,4,6,1.118244088888889
2012-08-01 20:00:00,20,4,6,1.1182308027777776
2012-08-01 21:00:00,21,4,6,1.153450575
2012-08-01 22:00:00,22,4,6,1.3786760444444441
2012-08-01 23:00:00,23,4,6,1.252423525
2012-08-02 00:00:00,0,4,6,1.1627376166666665
2012-08-02 01:00:00,1,4,6,1.1280659944444444
2012-08-02 02:00:00,2,4,6,1.085964738888889
2012-08-02 03:00:00,3,4,6,1.1478783499999998
2012-08-02 04:00:00,4,4,6,1.1590228
2012-08-02 05:00:00,5,4,6,1.0742011527777777
2012-08-02 06:00:00,6,4,6,1.0512931166666666
2012-08-02 07:00:00,7,4,6,1.1503548944444444
2012-08-02 08:00:00,8,4,6,1.170395772222222
2012-08-02 09:00:00,9,4,6,1.1801577
2012-08-02 10:00:00,10,4,6,1.1398295805555556
2012-08-02 11:00:00,11,4,6,1.1186901249999999
